CASENUMBER,VIOLATIONOPENDATE,CITATIONTYPE,CITATIONNUMBER,DEFICIENCYCODE,DEFICIENCYTEXT,FEEAMOUNT,OUTSTANDINGFEE,LEGALOUTCOME,LEGALOUTCOMEDATE
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,001288,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",80,0,Liable,07/12/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,001288,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",80,0,Liable,07/12/2019 12:00:00 AM +0000
2018-159445 CV,09/06/2018 12:00:00 AM +0000,Admin Hearing Citation,004414,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Closed/Mailed in Penalty Paid,12/11/2018 12:00:00 AM +0000
2019-031250 CV,02/27/2019 12:00:00 AM +0000,Admin Hearing Citation,08260,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Closed/Mailed in Penalty Paid,07/15/2019 12:00:00 AM +0000
2018-194885 CV,11/09/2018 12:00:00 AM +0000,Admin Hearing Citation,005320,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",300,0,Closed/Mailed in Penalty Paid,08/06/2019 12:00:00 AM +0000
2018-159445 CV,09/06/2018 12:00:00 AM +0000,Admin Hearing Citation,004481,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Closed/Mailed in Penalty Paid,02/12/2019 12:00:00 AM +0000
2018-163262 CV,09/13/2018 12:00:00 AM +0000,Admin Hearing Citation,5298,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Closed/Mailed in Penalty Paid,12/03/2018 12:00:00 AM +0000
2019-031250 CV,02/27/2019 12:00:00 AM +0000,Admin Hearing Citation,06984,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,500,Closed/Mailed in Penalty Paid,05/09/2019 12:00:00 AM +0000
2018-178923 CV,10/11/2018 12:00:00 AM +0000,Admin Hearing Citation,000641,80672,"This section applies to a short-term rental use that is owner-occupied or is associated with an owner-occupied principal residential unit.  A short-term rental use under this section may not include the rental of less than an entire dwelling unit, operate without a license as required by Section 25-2-790 (License Requirements), or operate without providing notification to renters as required by Section 25-2-791 (Notification Requirements).  For a short-term rental use under this section, a secondary residential unit on the same property may be rented for periods of less than 30 consecutive days for an annual total of more than 90 days.",300,0,Closed/Mailed in Penalty Paid,10/11/2018 12:00:00 AM +0000
2018-110626 CV,06/28/2018 12:00:00 AM +0000,Admin Hearing Citation,001291,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",80,0,Liable,08/16/2018 12:00:00 AM +0000
2019-052544 CV,04/06/2019 12:00:00 AM +0000,Admin Hearing Citation,06979,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,1000,1128,Liable,07/30/2019 12:00:00 AM +0000
2018-207908 CV,12/10/2018 12:00:00 AM +0000,Admin Hearing Citation,004661,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",750,878,Liable,06/19/2019 12:00:00 AM +0000
2018-205963 CV,12/06/2018 12:00:00 AM +0000,Admin Hearing Citation,004629,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",300,0,Closed/Mailed in Penalty Paid,04/08/2019 12:00:00 AM +0000
2018-207908 CV,12/10/2018 12:00:00 AM +0000,Admin Hearing Citation,004661,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,628,Liable,06/04/2019 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002239,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,830,Penalty Paid,11/08/2018 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002238,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",80,830,Penalty Paid,11/08/2018 12:00:00 AM +0000
2018-053156 CV,03/13/2018 12:00:00 AM +0000,Admin Hearing Citation,002246,80086,A licensee or operator may not advertise or promote or allow another to advertise or promote a short-term rental in violation of the City Code or state law.,300,0,Closed/Mailed in Penalty Paid,03/30/2018 12:00:00 AM +0000
2018-011030 CV,01/27/2018 12:00:00 AM +0000,Admin Hearing Citation,002123,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.The property was found to be advertising the property as an STR.",500,0,Liable,04/20/2018 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000063,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,1000,0,Liable,02/21/2019 12:00:00 AM +0000
2018-163262 CV,09/13/2018 12:00:00 AM +0000,Admin Hearing Citation,4410,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Closed/Mailed in Penalty Paid,12/03/2018 12:00:00 AM +0000
2019-052544 CV,04/06/2019 12:00:00 AM +0000,Admin Hearing Citation,06979,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,628,Liable,07/30/2019 12:00:00 AM +0000
2018-101104 CV,06/11/2018 12:00:00 AM +0000,Admin Hearing Citation,001300,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",128,853,Liable,06/04/2019 12:00:00 AM +0000
2018-075718 CV,04/25/2018 12:00:00 AM +0000,Admin Hearing Citation,000585,80709,I observed an online advertisement for this location. The advertisement required a three night minimum stay.,300,0,Closed/Mailed in Penalty Paid,05/29/2018 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000062,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,0,Liable,02/21/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000062,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,0,Liable,02/21/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000062,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,0,Liable,02/21/2019 12:00:00 AM +0000
2018-076999 CV,04/26/2018 12:00:00 AM +0000,Admin Hearing Citation,002555,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,0,Liable,06/18/2019 12:00:00 AM +0000
2018-118735 CV,07/14/2018 12:00:00 AM +0000,Admin Hearing Citation,005175,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,500,0,Liable,10/02/2018 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002452,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property is advertising more than the maximum allowable guests as permitted by the STR ordinance. NO more than 10 adults.",750,830,Liable,02/21/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000062,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,1000,0,Liable,07/12/2019 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002238,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,750,830,Liable,04/12/2018 12:00:00 AM +0000
2018-118735 CV,07/14/2018 12:00:00 AM +0000,Admin Hearing Citation,005175,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,0,Liable,12/18/2018 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002239,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,715,Liable,04/12/2018 12:00:00 AM +0000
2018-118735 CV,07/14/2018 12:00:00 AM +0000,Admin Hearing Citation,005175,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Penalty Paid,12/10/2018 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002238,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",635,715,Penalty Paid,11/08/2018 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002238,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",750,830,Liable,04/12/2018 12:00:00 AM +0000
2018-118735 CV,07/14/2018 12:00:00 AM +0000,Admin Hearing Citation,005175,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Liable,10/02/2018 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000062,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,500,0,Liable,02/21/2019 12:00:00 AM +0000
2018-210318 CV,12/14/2018 12:00:00 AM +0000,Admin Hearing Citation,07541,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Closed/Mailed in Penalty Paid,04/08/2019 12:00:00 AM +0000
2019-052544 CV,04/06/2019 12:00:00 AM +0000,Admin Hearing Citation,06979,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",128,628,Liable,08/08/2019 12:00:00 AM +0000
2018-062728 CV,03/30/2018 12:00:00 AM +0000,Admin Hearing Citation,002510,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,1080,Liable,06/18/2019 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002239,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",635,715,Closed due to Judicial / Admin Action,11/08/2018 12:00:00 AM +0000
2018-056421 CV,03/20/2018 12:00:00 AM +0000,Admin Hearing Citation,002460,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.The property was found to be operating s an STR with renters found on the property.,500,0,Penalty Paid,07/11/2018 12:00:00 AM +0000
2018-210318 CV,12/14/2018 12:00:00 AM +0000,Admin Hearing Citation,07541,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",750,250,Closed/Mailed in Penalty Paid,04/08/2019 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002239,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,750,830,Liable,04/12/2018 12:00:00 AM +0000
2018-090843 CV,05/23/2018 12:00:00 AM +0000,Admin Hearing Citation,001277,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,280,Closed/Mailed in Penalty Paid,10/08/2018 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002452,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.The property was found to be advertising without a license on display.",80,830,Liable,07/12/2019 12:00:00 AM +0000
2018-076999 CV,04/26/2018 12:00:00 AM +0000,Admin Hearing Citation,001280,80673,"This section applies to a short-term rental use that is not owner-occupied and is not associated with an owner-occupied principal residential unit.  A short-term rental use under this section may not include the rental of less than an entire dwelling unit, operate without a license as required by Section 25-2-790 (License Requirements), or operate without providing notification to renters as required by Section 25-2-791 (Notification Requirements).",80,1080,Liable,06/18/2019 12:00:00 AM +0000
2018-110566 CV,06/28/2018 12:00:00 AM +0000,Admin Hearing Citation,000170,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,0,Liable,08/17/2018 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000063,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",300,0,Liable,02/21/2019 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002239,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",80,715,Liable,04/12/2018 12:00:00 AM +0000
2018-130460 CV,08/02/2018 12:00:00 AM +0000,Admin Hearing Citation,005353,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,750,0,Liable,10/18/2018 12:00:00 AM +0000
2018-159445 CV,09/06/2018 12:00:00 AM +0000,Admin Hearing Citation,4412,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Closed/Mailed in Penalty Paid,02/12/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,2454,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property has updated the over occupancy number to 16, up from 14 previously noted.",1000,1080,Liable,07/12/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000064,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",300,0,Liable,07/12/2019 12:00:00 AM +0000
2019-052544 CV,04/06/2019 12:00:00 AM +0000,Admin Hearing Citation,06977,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,1000,1128,Liable,08/08/2019 12:00:00 AM +0000
2018-077668 CV,04/27/2018 12:00:00 AM +0000,Admin Hearing Citation,002512,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,680,Liable,09/27/2018 12:00:00 AM +0000
2018-194885 CV,11/09/2018 12:00:00 AM +0000,Admin Hearing Citation,005316,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",300,0,Closed/Mailed in Penalty Paid,08/06/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000062,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",750,0,Liable,02/21/2019 12:00:00 AM +0000
2018-055026 CV,03/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002504,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",750,0,Penalty Paid,08/06/2018 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000164,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,750,0,Liable,07/12/2019 12:00:00 AM +0000
2018-163252 CV,09/13/2018 12:00:00 AM +0000,Admin Hearing Citation,4479,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Closed/Mailed in Penalty Paid,11/28/2018 12:00:00 AM +0000
2018-118735 CV,07/14/2018 12:00:00 AM +0000,Admin Hearing Citation,002079,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,500,0,Liable,10/02/2018 12:00:00 AM +0000
2018-209293 CV,12/12/2018 12:00:00 AM +0000,Admin Hearing Citation,004660,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",128,628,Liable,06/07/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002452,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property has updated the over occupancy number to 16, up from 14 previously noted.",1000,1080,Liable,07/12/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,001288,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",750,0,Liable,02/21/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002452,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property is advertising more than the maximum allowable guests as permitted by the STR ordinance. NO more than 10 adults.",1000,1080,Liable,07/12/2019 12:00:00 AM +0000
2019-027069 CV,02/20/2019 12:00:00 AM +0000,Admin Hearing Citation,004664,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Liable,07/24/2019 12:00:00 AM +0000
2018-012992 CV,02/01/2018 12:00:00 AM +0000,Admin Hearing Citation,002121,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",80,580,Liable,07/11/2019 12:00:00 AM +0000
2018-106845 CV,06/21/2018 12:00:00 AM +0000,Admin Hearing Citation,005178,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Closed/Mailed in Penalty Paid,11/01/2018 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000064,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,0,Liable,02/21/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000064,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,0,Liable,02/21/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000064,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,0,Liable,02/21/2019 12:00:00 AM +0000
2018-024745 CV,02/26/2018 12:00:00 AM +0000,Admin Hearing Citation,001785,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,830,Liable,07/12/2019 12:00:00 AM +0000
2018-159445 CV,09/06/2018 12:00:00 AM +0000,Admin Hearing Citation,004481,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Closed/Mailed in Penalty Paid,12/11/2018 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002452,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property has updated the over occupancy number to 16, up from 14 previously noted.",1000,1000,Liable,02/21/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002453,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.The property was found to be advertising without a license on display.",80,1080,Liable,02/21/2019 12:00:00 AM +0000
2018-207198 CV,12/08/2018 12:00:00 AM +0000,Admin Hearing Citation,005344,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",128,878,Liable,06/17/2019 12:00:00 AM +0000
2019-031250 CV,02/27/2019 12:00:00 AM +0000,Admin Hearing Citation,08260,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Closed/Mailed in Penalty Paid,05/09/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,2454,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.The property was found to be advertising without a license on display.",750,830,Liable,07/12/2019 12:00:00 AM +0000
2018-076999 CV,04/26/2018 12:00:00 AM +0000,Admin Hearing Citation,001280,80672,"This section applies to a short-term rental use that is owner-occupied or is associated with an owner-occupied principal residential unit.  A short-term rental use under this section may not include the rental of less than an entire dwelling unit, operate without a license as required by Section 25-2-790 (License Requirements), or operate without providing notification to renters as required by Section 25-2-791 (Notification Requirements).  For a short-term rental use under this section, a secondary residential unit on the same property may be rented for periods of less than 30 consecutive days for an annual total of more than 90 days.",1000,0,Liable,06/18/2019 12:00:00 AM +0000
2018-055026 CV,03/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002505,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,750,0,Penalty Paid,08/06/2018 12:00:00 AM +0000
2018-130460 CV,08/02/2018 12:00:00 AM +0000,Admin Hearing Citation,005354,80086,25-2-794 - GENERAL REQUIREMENTS FOR SHORT-TERM RENTALS.A licensee or operator may not advertise or promote or allow another to advertise or promote a short-term rental without including: (1) the license number assigned by the City to the short-term rental; and (2) the applicable occupancy limit for the short-term rental,128,0,Liable,12/18/2018 12:00:00 AM +0000
2018-130460 CV,08/02/2018 12:00:00 AM +0000,Admin Hearing Citation,005354,80086,25-2-794 - GENERAL REQUIREMENTS FOR SHORT-TERM RENTALS.A licensee or operator may not advertise or promote or allow another to advertise or promote a short-term rental without including: (1) the license number assigned by the City to the short-term rental; and (2) the applicable occupancy limit for the short-term rental,128,0,Liable,12/18/2018 12:00:00 AM +0000
2018-210318 CV,12/14/2018 12:00:00 AM +0000,Admin Hearing Citation,07529,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",750,0,Closed/Mailed in Penalty Paid,06/11/2019 12:00:00 AM +0000
2018-075718 CV,04/25/2018 12:00:00 AM +0000,Admin Hearing Citation,002553,80709,I observed an online advertisement for this location. The advertisement required a three night minimum stay.,300,0,Closed/Mailed in Penalty Paid,05/29/2018 12:00:00 AM +0000
2018-207198 CV,12/08/2018 12:00:00 AM +0000,Admin Hearing Citation,005343,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",128,878,Liable,06/17/2019 12:00:00 AM +0000
2018-159445 CV,09/06/2018 12:00:00 AM +0000,Admin Hearing Citation,004481,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Closed/Mailed in Penalty Paid,02/12/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,2454,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.The property was found to be advertising without a license on display.",1000,1000,Liable,02/21/2019 12:00:00 AM +0000
2019-031250 CV,02/27/2019 12:00:00 AM +0000,Admin Hearing Citation,005350,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Closed/Mailed in Penalty Paid,07/15/2019 12:00:00 AM +0000
2018-119316 CV,07/16/2018 12:00:00 AM +0000,Admin Hearing Citation,002086,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",128,1128,Liable,01/08/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,2454,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property is advertising more than the maximum allowable guests as permitted by the STR ordinance. NO more than 10 adults.",80,1080,Liable,02/21/2019 12:00:00 AM +0000
2018-101104 CV,06/11/2018 12:00:00 AM +0000,Admin Hearing Citation,001300,80086,§ 25-2-794 - GENERAL REQUIREMENTS FOR SHORT-TERM RENTALS.A licensee or operator may not advertise or promote or allow another to advertise or promote a short-term rental without including: (1) the license number assigned by the City to the short-term rental; and (2) the applicable occupancy limit for the short-term rental.,725,853,Liable,06/04/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,001288,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,1000,0,Liable,02/21/2019 12:00:00 AM +0000
2018-194885 CV,11/09/2018 12:00:00 AM +0000,Admin Hearing Citation,005315,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",300,0,Closed/Mailed in Penalty Paid,08/06/2019 12:00:00 AM +0000
2019-031250 CV,02/27/2019 12:00:00 AM +0000,Admin Hearing Citation,06984,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Closed/Mailed in Penalty Paid,07/15/2019 12:00:00 AM +0000
2019-027069 CV,02/20/2019 12:00:00 AM +0000,Admin Hearing Citation,004664,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Liable,07/24/2019 12:00:00 AM +0000
2019-027069 CV,02/20/2019 12:00:00 AM +0000,Admin Hearing Citation,004669,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,500,0,Liable,07/24/2019 12:00:00 AM +0000
2018-159445 CV,09/06/2018 12:00:00 AM +0000,Admin Hearing Citation,4412,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Closed/Mailed in Penalty Paid,12/11/2018 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002238,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,715,Closed due to Judicial / Admin Action,11/08/2018 12:00:00 AM +0000
2018-213373 CV,12/20/2018 12:00:00 AM +0000,Admin Hearing Citation,06993,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",750,878,Liable,06/07/2019 12:00:00 AM +0000
2018-113789 CV,07/05/2018 12:00:00 AM +0000,Admin Hearing Citation,005154,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",80,0,Liable,12/18/2018 12:00:00 AM +0000
