CASENUMBER,VIOLATIONOPENDATE,CITATIONTYPE,CITATIONNUMBER,DEFICIENCYCODE,DEFICIENCYTEXT,FEEAMOUNT,OUTSTANDINGFEE,LEGALOUTCOME,LEGALOUTCOMEDATE
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,2454,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property is advertising more than the maximum allowable guests as permitted by the STR ordinance. NO more than 10 adults.",1000,1080,Liable,07/12/2019 12:00:00 AM +0000
2018-118735 CV,07/14/2018 12:00:00 AM +0000,Admin Hearing Citation,002079,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,0,Liable,12/18/2018 12:00:00 AM +0000
2018-130460 CV,08/02/2018 12:00:00 AM +0000,Admin Hearing Citation,005353,80086,25-2-794 - GENERAL REQUIREMENTS FOR SHORT-TERM RENTALS.A licensee or operator may not advertise or promote or allow another to advertise or promote a short-term rental without including: (1) the license number assigned by the City to the short-term rental; and (2) the applicable occupancy limit for the short-term rental,500,0,Liable,10/18/2018 12:00:00 AM +0000
2018-210318 CV,12/14/2018 12:00:00 AM +0000,Admin Hearing Citation,07540,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,-250,-250,Closed/Mailed in Penalty Paid,06/11/2019 12:00:00 AM +0000
2018-051724 CV,03/10/2018 12:00:00 AM +0000,Admin Hearing Citation,002456,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.The property was found to be in violation with a renter having been found at this property.,80,830,Liable,07/12/2019 12:00:00 AM +0000
2019-031250 CV,02/27/2019 12:00:00 AM +0000,Admin Hearing Citation,08260,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,500,Closed/Mailed in Penalty Paid,07/15/2019 12:00:00 AM +0000
2019-025423 CV,02/16/2019 12:00:00 AM +0000,Admin Hearing Citation,07538,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",128,0,Liable,08/02/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000164,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,500,0,Liable,07/12/2019 12:00:00 AM +0000
2018-130460 CV,08/02/2018 12:00:00 AM +0000,Admin Hearing Citation,005354,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,750,0,Liable,12/18/2018 12:00:00 AM +0000
2018-076999 CV,04/26/2018 12:00:00 AM +0000,Admin Hearing Citation,001280,80673,"This section applies to a short-term rental use that is not owner-occupied and is not associated with an owner-occupied principal residential unit.  A short-term rental use under this section may not include the rental of less than an entire dwelling unit, operate without a license as required by Section 25-2-790 (License Requirements), or operate without providing notification to renters as required by Section 25-2-791 (Notification Requirements).",1000,0,Liable,06/18/2019 12:00:00 AM +0000
2018-075718 CV,04/25/2018 12:00:00 AM +0000,Admin Hearing Citation,002563,80711,I observed an online advertisement  for 16 people.,300,0,Closed/Mailed in Penalty Paid,05/29/2018 12:00:00 AM +0000
2018-136447 CV,08/11/2018 12:00:00 AM +0000,Admin Hearing Citation,5277,80708,A licensee or operator may not advertise or promote or allow another to advertise or promote a short-term rental in violation of the City Code or state law.,80,1080,Liable,06/18/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,2454,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property has updated the over occupancy number to 16, up from 14 previously noted.",750,830,Liable,02/21/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,2454,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property has updated the over occupancy number to 16, up from 14 previously noted.",750,830,Liable,07/12/2019 12:00:00 AM +0000
2018-053156 CV,03/13/2018 12:00:00 AM +0000,Admin Hearing Citation,002244,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Closed/Mailed in Penalty Paid,03/30/2018 12:00:00 AM +0000
2018-090843 CV,05/23/2018 12:00:00 AM +0000,Admin Hearing Citation,001277,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,500,280,Closed/Mailed in Penalty Paid,10/08/2018 12:00:00 AM +0000
